NOME,AREA_M2,AREA_KM2,1995_area_construida_count,1995_area_construida_sum,1995_area_terreno_count,1995_area_terreno_sum,1996_area_construida_count,1996_area_construida_sum,1996_area_terreno_count,1996_area_terreno_sum,1997_area_construida_count,1997_area_construida_sum,1997_area_terreno_count,1997_area_terreno_sum,1998_area_construida_count,1998_area_construida_sum,1998_area_terreno_count,1998_area_terreno_sum,1999_area_construida_count,1999_area_construida_sum,1999_area_terreno_count,1999_area_terreno_sum,2000_area_construida_count,2000_area_construida_sum,2000_area_terreno_count,2000_area_terreno_sum,2001_area_construida_count,2001_area_construida_sum,2001_area_terreno_count,2001_area_terreno_sum,2002_area_construida_count,2002_area_construida_sum,2002_area_terreno_count,2002_area_terreno_sum,2003_area_construida_count,2003_area_construida_sum,2003_area_terreno_count,2003_area_terreno_sum,2004_area_construida_count,2004_area_construida_sum,2004_area_terreno_count,2004_area_terreno_sum,2005_area_construida_count,2005_area_construida_sum,2005_area_terreno_count,2005_area_terreno_sum,2006_area_construida_count,2006_area_construida_sum,2006_area_terreno_count,2006_area_terreno_sum,2007_area_construida_count,2007_area_construida_sum,2007_area_terreno_count,2007_area_terreno_sum,2008_area_construida_count,2008_area_construida_sum,2008_area_terreno_count,2008_area_terreno_sum,2009_area_construida_count,2009_area_construida_sum,2009_area_terreno_count,2009_area_terreno_sum,2010_area_construida_count,2010_area_construida_sum,2010_area_terreno_count,2010_area_terreno_sum,2011_area_construida_count,2011_area_construida_sum,2011_area_terreno_count,2011_area_terreno_sum,2012_area_construida_count,2012_area_construida_sum,2012_area_terreno_count,2012_area_terreno_sum,2013_area_construida_count,2013_area_construida_sum,2013_area_terreno_count,2013_area_terreno_sum,2014_area_construida_count,2014_area_construida_sum,2014_area_terreno_count,2014_area_terreno_sum,2015_area_construida_count,2015_area_construida_sum,2015_area_terreno_count,2015_area_terreno_sum,2016_area_construida_count,2016_area_construida_sum,2016_area_terreno_count,2016_area_terreno_sum,2017_area_construida_count,2017_area_construida_sum,2017_area_terreno_count,2017_area_terreno_sum,2018_area_construida_count,2018_area_construida_sum,2018_area_terreno_count,2018_area_terreno_sum,2019_area_construida_count,2019_area_construida_sum,2019_area_terreno_count,2019_area_terreno_sum,2020_area_construida_count,2020_area_construida_sum,2020_area_terreno_count,2020_area_terreno_sum
Macroarea de Estruturacao Metropolitana,228191140.27,228.21,"8340",95824851.000000,"8340",153909226.261700,"8362",98355338.000000,"8362",152613245.219600,"8439",102304388.000000,"8439",156812503.376900,"8507",103472707.000000,"8507",155927434.739900,"8512",105993751.000000,"8512",156063176.850100,"8516",108197550.000000,"8516",155581663.805200,"8607",112085994.000000,"8607",157378555.765600,"8608",113604067.000000,"8608",156981193.651200,"8619",115165452.000000,"8619",156822703.208000,"8630",116654538.000000,"8630",156957590.250900,"8657",117896581.000000,"8657",158218304.991500,"8660",119378992.000000,"8660",157762688.340700,"8662",121120220.000000,"8662",154215353.479700,"8684",123616127.000000,"8684",156599260.032600,"8709",126267334.000000,"8709",159483401.744600,"8666",129170197.000000,"8666",154559966.928100,"8676",131625298.000000,"8676",158605423.412400,"8690",134695937.000000,"8690",155310831.089200,"8703",137790784.000000,"8703",155856264.428700,"8716",141346313.000000,"8716",157499472.360200,"8725",144376642.000000,"8725",161303950.574400,"8906",150658559.000000,"8906",160865216.387800,"8917",153984576.000000,"8917",162020806.889800,"8949",155930744.000000,"8949",164045585.593700,"8974",157792368.000000,"8974",165343107.683500,"8985",160575959.000000,"8985",173257872.373600
Macroarea de Contencao Urbana e Uso Sustentavel,208882255.91,208.88,"119",35641.000000,"119",3744346.000000,"119",38592.000000,"119",3748577.000000,"119",75446.000000,"119",3750278.000000,"119",75280.000000,"119",3750278.000000,"119",75821.000000,"119",3750723.000000,"120",88987.000000,"120",4079696.000000,"120",93425.000000,"120",4125123.000000,"121",100715.000000,"121",4127920.000000,"121",101312.000000,"121",4128747.000000,"125",116520.000000,"125",4196235.000000,"124",116936.000000,"124",4186609.000000,"125",119804.000000,"125",4196270.000000,"125",120801.000000,"125",4193219.000000,"130",120947.000000,"130",4340296.000000,"130",121340.000000,"130",4353241.000000,"130",122587.000000,"130",4358947.000000,"131",129267.000000,"131",4505146.000000,"131",131795.000000,"131",4505148.000000,"131",132654.000000,"131",4505208.000000,"131",142829.000000,"131",4505208.000000,"131",143966.000000,"131",4505593.000000,"131",146980.000000,"131",4432270.000000,"131",154391.000000,"131",4442865.000000,"131",155373.000000,"131",4442865.000000,"132",162804.000000,"132",4471722.000000,"132",167856.000000,"132",4545048.000000
Macroarea de Controle e Qualificacao Urbana e Ambiental,161549640.28,161.55,"2472",8325754.000000,"2472",52054317.909500,"2476",8620733.000000,"2476",52323821.755100,"2480",9645799.000000,"2480",52785930.480800,"2504",9640497.000000,"2504",50737456.225200,"2516",9923381.000000,"2516",50726229.644100,"2517",10273133.000000,"2517",50837893.218700,"2526",10589842.000000,"2526",51731806.636200,"2524",10779884.000000,"2524",51494764.091700,"2525",10924227.000000,"2525",52006073.559000,"2533",11030655.000000,"2533",51663265.284900,"2533",11169334.000000,"2533",52062569.878600,"2538",11401610.000000,"2538",51950968.659600,"2548",11622235.000000,"2548",52303479.666100,"2560",11668300.000000,"2560",50839659.218000,"2568",11831631.000000,"2568",52447042.224900,"2445",11672027.000000,"2445",43746883.111200,"2453",11887807.000000,"2453",47782502.709100,"2473",12393051.000000,"2473",46636592.865000,"2480",12888988.000000,"2480",47073222.988400,"2480",12933512.000000,"2480",48573115.012300,"2483",13147792.000000,"2483",49105056.060900,"2641",14530475.000000,"2641",53875648.245300,"2656",14930758.000000,"2656",54256556.546900,"2668",15091180.000000,"2668",54412315.554500,"2679",15329124.000000,"2679",54543597.600200,"2690",15782978.000000,"2690",59009155.749800
Macroarea de Preservacao dos Ecossistemas Naturais,223876503.36,223.87,"44",279431.000000,"44",8660074.000000,"44",291965.000000,"44",8660258.000000,"44",303779.000000,"44",8660708.000000,"49",306726.000000,"49",8804477.000000,"49",317406.000000,"49",8842292.000000,"51",321009.000000,"51",8885489.000000,"54",347593.000000,"54",9376362.403200,"54",350918.000000,"54",9374813.508000,"54",357437.000000,"54",9391313.128800,"54",358210.000000,"54",9339500.128800,"54",358693.000000,"54",9351824.128800,"54",363206.000000,"54",9419520.128800,"55",386837.000000,"55",9431993.730000,"55",386717.000000,"55",9350332.730000,"55",389282.000000,"55",9493210.730000,"56",405584.000000,"56",9497495.730000,"58",406950.000000,"58",9504384.730000,"59",412923.000000,"59",9920542.730000,"61",426529.000000,"61",9935441.730000,"61",427809.000000,"61",9934062.730000,"61",481107.000000,"61",9907830.362000,"61",488194.000000,"61",9096551.655800,"63",505576.000000,"63",9520151.655800,"64",505947.000000,"64",9589083.655800,"66",525452.000000,"66",9722645.393000,"68",568305.000000,"68",10543412.735400
Macroarea de Qualificacao da Urbanizacao,204790477.23,204.79,"11943",87085810.000000,"11943",164530850.446400,"11948",90887989.000000,"11948",164651473.505700,"11975",94373669.000000,"11975",166297231.373500,"11976",96714444.000000,"11976",166162707.763300,"11978",99850522.000000,"11978",165995388.430900,"11980",102640155.000000,"11980",165332609.486700,"12113",107307500.000000,"12113",167155834.038800,"12112",108719600.000000,"12112",166971664.275600,"12121",110452415.000000,"12121",166549192.616000,"12122",111791355.000000,"12122",166489255.557300,"12128",113083928.000000,"12128",166622046.826000,"12132",114491189.000000,"12132",166136598.616000,"12132",115392686.000000,"12132",161833566.065400,"12130",117952829.000000,"12130",164234065.023900,"12143",119855931.000000,"12143",166375129.051800,"11586",117695043.560000,"11586",154416305.324400,"11630",119598101.540000,"11630",157424001.892100,"11632",122222865.520000,"11632",155534655.488900,"11671",124657901.510000,"11671",155869589.009300,"11675",126443223.490000,"11675",156589524.876700,"11788",129237545.980000,"11788",158874064.797300,"12389",139602111.000000,"12389",168937126.127200,"12395",141056697.000000,"12395",168891397.649000,"12402",142070210.000000,"12402",169699062.104200,"12403",142861296.000000,"12403",169272597.693600,"12421",144614515.000000,"12421",172532405.127300
Macroarea de Reducao da Vulnerabilidade Urbana e Recuperacao Ambiental,177669302.73,177.68,"5066",12024635.000000,"5066",81113062.091400,"5095",13361989.000000,"5095",82042100.258800,"5100",15907090.000000,"5100",82063067.767700,"5115",16366616.000000,"5115",81319283.327500,"5123",16919197.000000,"5123",81507879.261800,"5134",18157402.000000,"5134",81897869.831400,"5189",18515822.000000,"5189",82161509.951800,"5197",18953377.000000,"5197",82045315.970600,"5208",19149126.000000,"5208",82588892.611400,"5301",19446651.000000,"5301",82750268.043600,"5314",19717105.000000,"5314",83017888.660000,"5398",20893628.000000,"5398",83521129.842300,"5597",21468589.000000,"5597",85217709.007300,"5691",21853131.000000,"5691",83398772.825300,"5753",22310964.000000,"5753",86331043.970000,"5451",21790859.760000,"5451",75224230.056000,"5772",23038011.750000,"5772",78710115.069600,"5815",23457390.740000,"5815",79024366.545200,"5828",23832579.730000,"5828",79449522.182700,"5842",24169431.710000,"5842",81381101.826400,"5881",24390455.700000,"5881",80258271.394400,"6302",26429900.000000,"6302",89284699.657100,"6376",27359442.000000,"6376",90662819.724600,"6381",27722087.000000,"6381",90749273.309600,"6415",28220497.000000,"6415",92143229.654000,"6471",29121870.000000,"6471",98363989.898100
Macroarea de Reducao da Vulnerabilidade Urbana,167094247.51,167.09,"9454",34903515.000000,"9454",111774415.240600,"9468",37581310.000000,"9468",112961945.039000,"9517",42537715.000000,"9517",113612222.283400,"9621",43497361.000000,"9621",113281319.162100,"9627",45102432.000000,"9627",113489635.383200,"9628",47696113.000000,"9628",113110392.821300,"9632",48611669.000000,"9632",113387208.255100,"9634",49396766.000000,"9634",113173525.663300,"9644",50175555.000000,"9644",113482481.979600,"9731",51047977.000000,"9731",112930757.443600,"9791",51757852.000000,"9791",113399576.591400,"9811",52619691.000000,"9811",113393658.282900,"9891",53705899.000000,"9891",113929894.478800,"9899",54320134.000000,"9899",113295206.688600,"9966",55079632.000000,"9966",114014755.207500,"9936",56185148.000000,"9936",112426548.949100,"9973",57070266.000000,"9973",112301609.449600,"10031",58063520.000000,"10031",113073809.659000,"10043",59003742.000000,"10043",113805226.862400,"10048",60771370.000000,"10048",113105643.946400,"10052",61350523.000000,"10052",112480823.342800,"10503",69604018.000000,"10503",120360187.974100,"10517",71175246.000000,"10517",120601572.661800,"10560",71979904.000000,"10560",120779876.629700,"10574",72473010.000000,"10574",120740999.968500,"10579",73713219.000000,"10579",124751802.347600
Macroarea de Urbanizacao Consolidada,103132808.65,103.13,"5170",91835718.000000,"5170",80341981.856500,"5175",94148398.000000,"5175",80487656.063200,"5189",96572600.000000,"5189",80943556.194300,"5197",98203344.000000,"5197",81355818.891800,"5198",100358933.000000,"5198",81421523.713800,"5197",102707489.000000,"5197",80708116.684000,"5198",105054241.000000,"5198",80919930.092400,"5199",106520898.000000,"5199",80991261.710400,"5200",108253847.000000,"5200",80980001.652100,"5201",110094263.000000,"5201",80977996.145400,"5201",111721024.000000,"5201",80910457.773600,"5204",113707577.000000,"5204",81058144.285500,"5204",115083724.000000,"5204",76719146.856000,"5200",117129283.000000,"5200",80035636.816800,"5203",119604425.000000,"5203",80924031.422700,"5204",122312517.000000,"5204",81146358.553400,"5205",123743316.000000,"5205",81140451.290100,"5207",125298692.000000,"5207",81110070.495500,"5207",126778618.000000,"5207",81113627.071000,"5207",127570719.000000,"5207",81102487.014400,"5207",128512185.000000,"5207",81076266.819700,"5217",131435207.000000,"5217",81193428.224100,"5217",132503316.000000,"5217",81171468.117200,"5217",133255772.000000,"5217",81099105.823400,"5217",134213242.000000,"5217",81094614.097800,"5218",135393004.000000,"5218",81047982.666700
