NOME,AREA_M2,AREA_KM2,1995_area_construida_sum,1995_area_ocupada_sum,1995_area_terreno_sum,1996_area_construida_sum,1996_area_ocupada_sum,1996_area_terreno_sum,1997_area_construida_sum,1997_area_ocupada_sum,1997_area_terreno_sum,1998_area_construida_sum,1998_area_ocupada_sum,1998_area_terreno_sum,1999_area_construida_sum,1999_area_ocupada_sum,1999_area_terreno_sum,2000_area_construida_sum,2000_area_ocupada_sum,2000_area_terreno_sum,2001_area_construida_sum,2001_area_ocupada_sum,2001_area_terreno_sum,2002_area_construida_sum,2002_area_ocupada_sum,2002_area_terreno_sum,2003_area_construida_sum,2003_area_ocupada_sum,2003_area_terreno_sum,2004_area_construida_sum,2004_area_ocupada_sum,2004_area_terreno_sum,2005_area_construida_sum,2005_area_ocupada_sum,2005_area_terreno_sum,2006_area_construida_sum,2006_area_ocupada_sum,2006_area_terreno_sum,2007_area_construida_sum,2007_area_ocupada_sum,2007_area_terreno_sum,2008_area_construida_sum,2008_area_ocupada_sum,2008_area_terreno_sum,2009_area_construida_sum,2009_area_ocupada_sum,2009_area_terreno_sum,2010_area_construida_sum,2010_area_ocupada_sum,2010_area_terreno_sum,2011_area_construida_sum,2011_area_ocupada_sum,2011_area_terreno_sum,2012_area_construida_sum,2012_area_ocupada_sum,2012_area_terreno_sum,2013_area_construida_sum,2013_area_ocupada_sum,2013_area_terreno_sum,2014_area_construida_sum,2014_area_ocupada_sum,2014_area_terreno_sum,2015_area_construida_sum,2015_area_ocupada_sum,2015_area_terreno_sum,2016_area_construida_sum,2016_area_ocupada_sum,2016_area_terreno_sum,2017_area_construida_sum,2017_area_ocupada_sum,2017_area_terreno_sum,2018_area_construida_sum,2018_area_ocupada_sum,2018_area_terreno_sum,2019_area_construida_sum,2019_area_ocupada_sum,2019_area_terreno_sum,2020_area_construida_sum,2020_area_ocupada_sum,2020_area_terreno_sum
Macroarea de Estruturacao Metropolitana,228191140.27,228.21,95824851.000000,49526368.643100,153909226.261700,98355338.000000,51459633.332700,152613245.219600,102304388.000000,53395081.228000,156812503.376900,103472707.000000,53719244.500700,155927434.739900,105993751.000000,54777192.873600,156063176.850100,108197550.000000,55374122.798000,155581663.805200,112085994.000000,56873530.216200,157378555.765600,113604067.000000,57027155.564600,156981193.651200,115165452.000000,57358585.725500,156822703.208000,116654538.000000,57592348.084600,156957590.250900,117896581.000000,57596218.541500,158218304.991500,119378992.000000,57566648.171500,157762688.340700,121120220.000000,58085772.631800,154215353.479700,123616127.000000,58614550.014900,156599260.032600,126267334.000000,59006699.618100,159483401.744600,129170197.000000,58828037.931900,154559966.928100,131625298.000000,59308899.068200,158605423.412400,134695937.000000,59536509.130000,155310831.089200,137790784.000000,59687686.217900,155856264.428700,141346313.000000,60358789.587200,157499472.360200,144376642.000000,61349347.327300,161303950.574400,150658559.000000,62284573.748200,160865216.387800,153984576.000000,62679537.624800,162020806.889800,155930744.000000,63111382.364500,164045585.593700,157792368.000000,63457333.688600,165343107.683500,160575959.000000,64060003.174300,173257872.373600
Macroarea de Contencao Urbana e Uso Sustentavel,208882255.91,208.88,35641.000000,33855.000000,3744346.000000,38592.000000,36744.000000,3748577.000000,75446.000000,70212.000000,3750278.000000,75280.000000,70086.000000,3750278.000000,75821.000000,70627.000000,3750723.000000,88987.000000,77342.000000,4079696.000000,93425.000000,78664.000000,4125123.000000,100715.000000,85214.000000,4127920.000000,101312.000000,85811.000000,4128747.000000,116520.000000,97125.000000,4196235.000000,116936.000000,97423.000000,4186609.000000,119804.000000,98193.000000,4196270.000000,120801.000000,99331.000000,4193219.000000,120947.000000,99617.000000,4340296.000000,121340.000000,99797.000000,4353241.000000,122587.000000,100825.000000,4358947.000000,129267.000000,106235.000000,4505146.000000,131795.000000,108190.000000,4505148.000000,132654.000000,108334.000000,4505208.000000,142829.000000,114089.000000,4505208.000000,143966.000000,114776.000000,4505593.000000,146980.000000,117183.000000,4432270.000000,154391.000000,121871.000000,4442865.000000,155373.000000,122526.000000,4442865.000000,162804.000000,129757.000000,4471722.000000,167856.000000,133862.000000,4545048.000000
Macroarea de Controle e Qualificacao Urbana e Ambiental,161549640.28,161.55,8325754.000000,6219920.889800,52054317.909500,8620733.000000,6486493.169000,52323821.755100,9645799.000000,7192180.838100,52785930.480800,9640497.000000,7164744.165900,50737456.225200,9923381.000000,7340835.543100,50726229.644100,10273133.000000,7486914.192400,50837893.218700,10589842.000000,7641634.086400,51731806.636200,10779884.000000,7719944.303100,51494764.091700,10924227.000000,7825015.497500,52006073.559000,11030655.000000,7853500.500900,51663265.284900,11169334.000000,7910052.777000,52062569.878600,11401610.000000,7987705.578300,51950968.659600,11622235.000000,8095458.756000,52303479.666100,11668300.000000,8084825.913100,50839659.218000,11831631.000000,8179422.818400,52447042.224900,11672027.000000,7427903.149000,43746883.111200,11887807.000000,7872091.395600,47782502.709100,12393051.000000,7776441.264000,46636592.865000,12888988.000000,7920694.395800,47073222.988400,12933512.000000,8064151.286500,48573115.012300,13147792.000000,8324124.171500,49105056.060900,14530475.000000,9071596.391900,53875648.245300,14930758.000000,9358265.975000,54256556.546900,15091180.000000,9429632.667000,54412315.554500,15329124.000000,9544378.211400,54543597.600200,15782978.000000,9828116.117600,59009155.749800
Macroarea de Preservacao dos Ecossistemas Naturais,223876503.36,223.87,279431.000000,196548.000000,8660074.000000,291965.000000,205417.000000,8660258.000000,303779.000000,216492.000000,8660708.000000,306726.000000,217622.000000,8804477.000000,317406.000000,225095.000000,8842292.000000,321009.000000,227925.000000,8885489.000000,347593.000000,255052.860000,9376362.403200,350918.000000,257481.860000,9374813.508000,357437.000000,261046.660400,9391313.128800,358210.000000,261162.660400,9339500.128800,358693.000000,261414.660400,9351824.128800,363206.000000,264303.660400,9419520.128800,386837.000000,268359.217200,9431993.730000,386717.000000,268013.217200,9350332.730000,389282.000000,269863.217200,9493210.730000,405584.000000,279554.217200,9497495.730000,406950.000000,280211.217200,9504384.730000,412923.000000,297440.217200,9920542.730000,426529.000000,303984.217200,9935441.730000,427809.000000,306516.217200,9934062.730000,481107.000000,325498.039600,9907830.362000,488194.000000,313015.196400,9096551.655800,505576.000000,326233.196400,9520151.655800,505947.000000,326356.196400,9589083.655800,525452.000000,341800.980800,9722645.393000,568305.000000,357822.946200,10543412.735400
Macroarea de Qualificacao da Urbanizacao,204790477.23,204.79,87085810.000000,54875033.781500,164530850.446400,90887989.000000,56920390.314000,164651473.505700,94373669.000000,58263299.091000,166297231.373500,96714444.000000,58879926.038600,166162707.763300,99850522.000000,60125444.840900,165995388.430900,102640155.000000,60750496.203600,165332609.486700,107307500.000000,62512453.740500,167155834.038800,108719600.000000,62873928.918000,166971664.275600,110452415.000000,63209251.807300,166549192.616000,111791355.000000,63461971.237000,166489255.557300,113083928.000000,63689773.333200,166622046.826000,114491189.000000,63702227.534000,166136598.616000,115392686.000000,63724121.725200,161833566.065400,117952829.000000,64432610.928400,164234065.023900,119855931.000000,64921429.800500,166375129.051800,117695043.560000,60914004.369700,154416305.324400,119598101.540000,61526295.281100,157424001.892100,122222865.520000,61913479.513900,155534655.488900,124657901.510000,62632505.188500,155869589.009300,126443223.490000,62935877.940500,156589524.876700,129237545.980000,63662449.298100,158874064.797300,139602111.000000,68336804.587400,168937126.127200,141056697.000000,68543408.170500,168891397.649000,142070210.000000,68844927.560300,169699062.104200,142861296.000000,69009787.160400,169272597.693600,144614515.000000,69541161.681100,172532405.127300
Macroarea de Reducao da Vulnerabilidade Urbana e Recuperacao Ambiental,177669302.73,177.68,12024635.000000,9096696.951100,81113062.091400,13361989.000000,10371393.468500,82042100.258800,15907090.000000,12224929.005100,82063067.767700,16366616.000000,12545045.966600,81319283.327500,16919197.000000,12908655.721400,81507879.261800,18157402.000000,13697394.388500,81897869.831400,18515822.000000,13892322.429600,82161509.951800,18953377.000000,14152090.077500,82045315.970600,19149126.000000,14275340.401200,82588892.611400,19446651.000000,14451752.097200,82750268.043600,19717105.000000,14544738.858700,83017888.660000,20893628.000000,14863274.101200,83521129.842300,21468589.000000,15209920.827600,85217709.007300,21853131.000000,15407877.332000,83398772.825300,22310964.000000,15668064.978200,86331043.970000,21790859.760000,14505585.605500,75224230.056000,23038011.750000,15316895.406800,78710115.069600,23457390.740000,15631419.315100,79024366.545200,23832579.730000,15828712.495000,79449522.182700,24169431.710000,16033970.908600,81381101.826400,24390455.700000,16056253.234200,80258271.394400,26429900.000000,17846719.175300,89284699.657100,27359442.000000,18295752.977600,90662819.724600,27722087.000000,18466967.064300,90749273.309600,28220497.000000,18707455.577200,92143229.654000,29121870.000000,19081041.223500,98363989.898100
Macroarea de Reducao da Vulnerabilidade Urbana,167094247.51,167.09,34903515.000000,24775667.848300,111774415.240600,37581310.000000,27085257.960400,112961945.039000,42537715.000000,30506502.862000,113612222.283400,43497361.000000,30757098.497900,113281319.162100,45102432.000000,31638209.560600,113489635.383200,47696113.000000,33083965.614700,113110392.821300,48611669.000000,33426649.968500,113387208.255100,49396766.000000,33839892.394200,113173525.663300,50175555.000000,34097238.149800,113482481.979600,51047977.000000,34381954.746600,112930757.443600,51757852.000000,34694491.624800,113399576.591400,52619691.000000,34853648.201800,113393658.282900,53705899.000000,35445311.915400,113929894.478800,54320134.000000,35509724.900700,113295206.688600,55079632.000000,35835036.797600,114014755.207500,56185148.000000,36027066.451200,112426548.949100,57070266.000000,35946458.132600,112301609.449600,58063520.000000,36784652.561900,113073809.659000,59003742.000000,37191839.248300,113805226.862400,60771370.000000,37571328.496900,113105643.946400,61350523.000000,37619801.402800,112480823.342800,69604018.000000,40566477.845600,120360187.974100,71175246.000000,40986228.570700,120601572.661800,71979904.000000,41263974.298800,120779876.629700,72473010.000000,41478552.777900,120740999.968500,73713219.000000,41910443.692600,124751802.347600
Macroarea de Urbanizacao Consolidada,103132808.65,103.13,91835718.000000,28212100.799400,80341981.856500,94148398.000000,29012847.384000,80487656.063200,96572600.000000,29424703.006100,80943556.194300,98203344.000000,29598041.604300,81355818.891800,100358933.000000,30065206.934700,81421523.713800,102707489.000000,30280979.866400,80708116.684000,105054241.000000,30699913.049200,80919930.092400,106520898.000000,30887595.076000,80991261.710400,108253847.000000,31096406.017100,80980001.652100,110094263.000000,31256641.768100,80977996.145400,111721024.000000,31406977.994100,80910457.773600,113707577.000000,31626699.745200,81058144.285500,115083724.000000,31704037.626400,76719146.856000,117129283.000000,32052383.193300,80035636.816800,119604425.000000,32396693.114200,80924031.422700,122312517.000000,32836521.191600,81146358.553400,123743316.000000,32946952.249700,81140451.290100,125298692.000000,33056964.669000,81110070.495500,126778618.000000,33183070.654900,81113627.071000,127570719.000000,33224529.419600,81102487.014400,128512185.000000,33351365.594600,81076266.819700,131435207.000000,33675793.224600,81193428.224100,132503316.000000,33751730.404700,81171468.117200,133255772.000000,33824699.993800,81099105.823400,134213242.000000,33942322.722200,81094614.097800,135393004.000000,34183164.652400,81047982.666700
