setor,AREA CONSTRUIDA,area_ocupada
143,1199213,451010.79459999007
144,1212964,682322.0095000115
145,1073232,728750.9076999997
146,780337,517270.1815999966
147,2482606,1331619.4099999063
148,1503022,1076022.305700007
149,1531680,1061794.979600008
150,1476121,1033027.8923000015
151,1405862,822300.7252000248
152,2120579,1550110.626200002
153,1316378,782455.30720004
154,1507767,898207.1979000655
155,2137607,1254194.136299989
156,882264,462960.97329999285
157,2055918,751222.2866999746
158,169633,100621.0
159,2802837,1102778.6815999704
160,3170660,1368563.9286999889
161,646928,511494.0
162,1532180,806963.0665000139
163,1327829,957671.8740000007
164,374055,313120.0
165,2812977,1853069.0958999787
166,1512652,936482.9900000021
167,1036513,686533.6090000008
168,2119398,1187429.7709999334
169,2765936,1073544.3407000455
170,3160750,489903.06659998966
171,6288230,1353492.701999925
172,2186488,1466719.953499956
173,1969819,1221899.4387999969
174,964601,679125.9578999709
175,704818,550681.0
176,585214,422526.5064000171
177,676490,402547.1433000302
178,742744,574750.8665000007
179,276748,224356.0
180,343719,260308.0
181,891306,553225.1784000071
182,346223,259955.93540000025
183,1373264,515426.8379999627
184,1463063,915373.3595999819
185,1326120,776910.2014999912
186,747357,355766.86680000165
187,1044158,788246.4252999995
188,795683,492677.0842999931
189,486852,339610.56420000514
190,771001,493299.3431000003
191,343081,235602.385299999
192,820614,541845.9482000035
193,707527,505642.7085999903
194,934169,683007.3051000087
195,225610,169266.0
196,1002686,442532.0367000269
197,2668720,975911.6435000055
198,775421,526253.3372000008
199,940379,619627.275400016
200,655734,358917.84830000123
201,815121,435318.25170001196
202,399495,265654.0359000013
203,450232,369201.0
204,12817,10725.0
206,215083,148552.0
207,228813,156970.9267
208,265660,137893.04440000007
209,93621,48946.0193999995
210,295958,152226.1899999964
211,98807,23218.91550000033
212,67296,36086.63340000006
213,106683,73003.0
214,1026977,480700.73850000236
215,455685,130831.59500000253
216,114665,28514.30059999977
222,228676,152548.15440000032
223,4154,3986.0
226,52893,41220.310600000084
227,400809,227038.6920000003
228,316404,212755.6000000008
229,327350,264207.0
230,1429411,451122.0173999926
231,11617,10222.0
232,345740,190215.38290000017
233,197128,137643.97549999962
234,615369,323608.48510000086
235,244879,132526.0965999971
236,101494,49367.560300000034
237,458474,240940.55680000648
238,21557,13720.99999999997
239,177503,114996.71199999982
240,157903,127443.0
241,128989,48711.14760000049
242,26125,24461.0
243,82611,64965.0
244,58357,36949.766399999935
245,841182,330600.0254999751
246,616473,189881.7351999951
247,76327,56909.0
248,518853,469684.0
249,169044,121215.0
252,27027,17738.0
253,106810,39760.35340000019
254,104090,84770.0
255,41174,32244.0
256,151731,119495.0
257,14171,13002.0
258,335138,252816.0
259,132160,101093.0
260,57255,47181.0
261,293167,244242.16550000035
262,61505,44714.0
263,48150,40226.0
264,10807,9579.0
265,39609,33890.0
266,91546,75409.0
267,87511,73919.0
268,30164,25447.0
269,3809,2893.0
270,6645,6545.0
271,37056,31937.0
272,11015,8719.0
273,14798,12890.0
274,91583,75952.0
275,838,838.0
276,43991,38248.0
277,113022,95693.0
278,6038,5528.0
279,731,731.0
280,5079,4299.0
281,41536,36650.0
282,56534,50326.0
283,33971,29619.0
285,40439,31989.0
286,3917,3604.0
287,12861,11556.0
288,362,264.0
289,3070,2850.0
290,2082,2082.0
291,6245,5883.0
292,19367,17868.0
294,4369,4369.0
295,0,0.0
296,0,0.0
298,1638,1638.0
299,7835941,1205696.947000033
300,3123816,695793.9407000066
301,2278337,442740.71499999496
302,718184,457425.2614000001
303,871790,515948.40080000163
304,2212962,1243274.0935999767
305,1581552,764887.1566000102
306,2378028,1012987.2653999451
307,865086,495651.1636999999
308,479165,336005.8372000033
309,1904198,474039.7474999958
310,1758971,696330.3442000141
