,agregacao,area_construida,area_terreno,area_ocupada,maximo_de_pavimentos,media_testada,CA,TO,exercicio
1,Fora de Eixo,321878236.0,537008095.1146004,174427889.52609977,69.0,10.0,0.5993917762660719,0.32481426465065844,2000
0,EETU,66848374.0,44432988.92090004,20675836.91920001,40.0,10.0,1.5044761926550565,0.4653262681924752,2012
1,Fora de Eixo,390957433.0,527344416.5913012,185903364.88789985,50.0,10.0,0.7413701950749905,0.3525274166920352,2012
0,EETU,49761669.0,45628049.54030001,18306061.35399999,90.0,10.0,1.0905938233465153,0.4012019259738804,1996
1,Fora de Eixo,282297752.0,533619651.11859983,157243372.40869972,199.23,10.0,0.5290242805118468,0.294673129220557,1996
0,EETU,57532410.0,46851407.39719998,20479941.08799999,47.0,10.0,1.227976131266408,0.43712541897351725,2001
1,Fora de Eixo,331590486.0,540997488.4270008,177871509.36309975,47.0,10.0,0.6129242613752781,0.32878435328836236,2001
0,EETU,66018686.0,44432209.04820004,20588030.783400007,40.0,10.0,1.485829478529482,0.46335825349277865,2011
1,Fora de Eixo,383265300.0,529666182.01050097,184248280.56219986,47.0,10.0,0.7235978301374761,0.3478573615231244,2011
0,EETU,62446381.0,46781966.13229999,20968203.834300004,40.0,10.0,1.3348387458406696,0.4482112567693641,2007
1,Fora de Eixo,362092216.0,541248454.9667004,184187395.86729985,47.0,10.0,0.6689944565703697,0.34030100996525103,2007
0,EETU,52502242.0,45826050.76560002,19062442.327999987,90.0,10.0,1.1456855025223243,0.41597392770117303,1998
1,Fora de Eixo,303623833.0,537157043.7537004,167336386.05789965,69.0,10.0,0.5652422071546341,0.3115222782680803,1998
0,EETU,73396242.0,47481490.78609996,22401166.807000004,40.0,10.0,1.5457863850704217,0.4717873520002844,2018
1,Fora de Eixo,451047989.0,566633254.0074033,203184328.5939995,50.0,10.0,0.7960139751948037,0.3585817231110563,2018
0,EETU,48461898.0,45317054.00349999,17591432.621599987,90.0,10.0,1.0693964792207613,0.38818570642834244,1995
1,Fora de Eixo,271120015.0,532859381.44689995,149608275.92169967,199.23,10.0,0.5088021801620798,0.28076502193779673,1995
0,EETU,51443836.0,45670943.11819999,18834587.316999983,90.0,10.0,1.126401875846078,0.4123975996785219,1997
1,Fora de Eixo,298306632.0,540108870.5913006,165975774.79649973,199.23,10.0,0.5523083367866551,0.30730059036948,1997
0,EETU,63665258.0,46872024.5623,21163513.60350001,40.0,10.0,1.3582783887514664,0.45151695069988934,2008
1,Fora de Eixo,366969629.0,540869356.4347007,185243374.2335999,47.0,10.0,0.6784810872240722,0.34249190128774537,2008
0,EETU,58160753.0,46853804.81959996,20544727.175399996,40.0,10.0,1.2413240125094407,0.4384857804932352,2002
1,Fora de Eixo,336385050.0,540225144.9683006,179072933.3572999,47.0,10.0,0.6226756624217084,0.3314783382913573,2002
0,EETU,68311644.0,43988145.85150003,20623129.72,40.0,10.0,1.5529557492742223,0.4688338033074139,2014
1,Fora de Eixo,405306881.0,531829295.0095018,189218865.31289983,50.0,10.0,0.7620995774457265,0.3557887222243355,2014
0,EETU,74721808.0,47553463.95749995,22601131.325600002,40.0,10.0,1.571322082168005,0.47527833820474896,2020
1,Fora de Eixo,461882284.0,581357518.1426027,206154968.96329972,50.0,10.0,0.7944892249362874,0.35460962063748774,2020
0,EETU,64827330.0,46988510.475700006,21357498.949000005,40.0,10.0,1.3796421581298113,0.4545259837518149,2009
1,Fora de Eixo,373339420.0,547291642.8403007,186623140.57229966,47.0,10.0,0.6821580867971342,0.3409939527009298,2009
0,EETU,59983806.0,46721892.39629997,20743827.181800004,40.0,10.0,1.2838479548561752,0.4439851666505435,2004
1,Fora de Eixo,346084757.0,540491140.2033011,181115539.43429986,47.0,10.0,0.640315319266516,0.3350943724372148,2004
0,EETU,69202630.0,44855791.29160004,21024465.9212,40.0,10.0,1.5427802744605532,0.4687124073795386,2015
1,Fora de Eixo,411822777.0,534190778.25050133,190751417.05969974,50.0,10.0,0.7709282783741381,0.35708481843213236,2015
