TIPO DE USO DO IMOVEL,ANO DO EXERCICIO,quantidade
"asilo, orfanato, creche, seminário ou convento",2004,567
"cinema, teatro, casa de diversão, clube ou congênere",2004,558
clube esportivo,2004,552
cortiço (habitação coletiva subnormal),2004,1759
escola,2004,6750
escritório ou consultório,2004,80108
"estacionamento e garagem, não em condomínio",2004,2884
"estação radioemissora, de televisão ou empresa jornalística",2004,158
"flat, não residencial",2004,865
"flat, residencial",2004,308
"garagem em edifício de escritórios, consultórios ou misto",2004,23060
garagem em edifício de uso exclusivamente residencial,2004,138132
"garagem, em prédio de garagens",2004,9258
"hospital, ambulatório, casa de saúde e assemelhados",2004,1300
"hotel, pensão ou hospedaria",2004,1911
indústria,2004,14292
loja,2004,44082
loja e residência (predominância comercial),2004,47842
loja em edifício em condomínio,2004,20986
oficina,2004,10980
"outras edificações do tipo (uso coletivo), com utilização múltipla",2004,2599
"outras edificações do tipo (uso comércio), com utilização múltipla",2004,17480
"outras edificações do tipo (uso especial), com utilização múltipla",2004,1194
"outras edificações do tipo (uso serviço), com utilização múltipla",2004,5022
posto de serviço (combustíveis),2004,2224
"prédio com uso exclusivamente residencial, não em condomínio",2004,1349
"prédio com uso misto, predominância de uso não residencial, não em condomínio",2004,207
"prédio com uso misto, predominância de uso residencial, não em condomínio",2004,3000
"prédio de escritório ou consultório, com ou sem lojas, não em condomínio",2004,25195
residência,2004,956077
"residência coletiva (mais de uma residência no lote), exclusive cortiço",2004,200609
residência e outro uso (predominância residencial),2004,85182
templo,2004,4981
terreno,2004,126464
apartamento,2005,831226
armazéns gerais e depósitos,2005,8085
"asilo, orfanato, creche, seminário ou convento",2005,574
"cinema, teatro, casa de diversão, clube ou congênere",2005,549
clube esportivo,2005,549
cortiço (habitação coletiva subnormal),2005,1751
escola,2005,6660
escritório ou consultório,2005,81609
"estacionamento e garagem, não em condomínio",2005,2913
"estação radioemissora, de televisão ou empresa jornalística",2005,176
"flat, não residencial",2005,21135
"flat, residencial",2005,2518
"garagem em edifício de escritórios, consultórios ou misto",2005,26124
garagem em edifício de uso exclusivamente residencial,2005,141092
"garagem, em prédio de garagens",2005,9256
"hospital, ambulatório, casa de saúde e assemelhados",2005,1285
"hotel, pensão ou hospedaria",2005,1076
indústria,2005,14181
loja,2005,44098
loja e residência (predominância comercial),2005,47235
loja em edifício em condomínio,2005,21073
oficina,2005,10855
"outras edificações do tipo (uso coletivo), com utilização múltipla",2005,2618
"outras edificações do tipo (uso comércio), com utilização múltipla",2005,17515
"outras edificações do tipo (uso especial), com utilização múltipla",2005,1191
"outras edificações do tipo (uso serviço), com utilização múltipla",2005,5001
posto de serviço (combustíveis),2005,2218
"prédio com uso exclusivamente residencial, não em condomínio",2005,1338
"prédio com uso misto, predominância de uso não residencial, não em condomínio",2005,206
"prédio com uso misto, predominância de uso residencial, não em condomínio",2005,2979
"prédio de escritório ou consultório, com ou sem lojas, não em condomínio",2005,24768
residência,2005,963964
"residência coletiva (mais de uma residência no lote), exclusive cortiço",2005,201141
residência e outro uso (predominância residencial),2005,85408
templo,2005,5000
terreno,2005,125314
apartamento,1995,607085
armazéns gerais e depósitos,1995,5957
"asilo, orfanato, creche, seminário ou convento",1995,368
"cinema, teatro, casa de diversão, clube ou congênere",1995,528
clube esportivo,1995,508
cortiço (habitação coletiva subnormal),1995,2557
escola,1995,4399
escritório ou consultório,1995,44692
"estacionamento e garagem, não em condomínio",1995,1096
"estação radioemissora, de televisão ou empresa jornalística",1995,51
"garagem em edifício de escritórios, consultórios ou misto",1995,16330
garagem em edifício de uso exclusivamente residencial,1995,89944
"garagem, em prédio de garagens",1995,8055
"hospital, ambulatório, casa de saúde e assemelhados",1995,1135
"hotel, pensão ou hospedaria",1995,1444
indústria,1995,14099
loja,1995,33196
loja e residência (predominância comercial),1995,49995
loja em edifício em condomínio,1995,18081
oficina,1995,9378
"outras edificações do tipo (uso coletivo), com utilização múltipla",1995,1505
"outras edificações do tipo (uso comércio), com utilização múltipla",1995,11199
"outras edificações do tipo (uso especial), com utilização múltipla",1995,987
"outras edificações do tipo (uso serviço), com utilização múltipla",1995,3137
posto de serviço (combustíveis),1995,1887
"prédio com uso exclusivamente residencial, não em condomínio",1995,1216
"prédio com uso misto, predominância de uso não residencial, não em condomínio",1995,31
"prédio com uso misto, predominância de uso residencial, não em condomínio",1995,3934
"prédio de escritório ou consultório, com ou sem lojas, não em condomínio",1995,16909
residência,1995,931198
"residência coletiva (mais de uma residência no lote), exclusive cortiço",1995,153409
residência e outro uso (predominância residencial),1995,45141
residência vertical - Padrão C,1995,1
templo,1995,3270
terreno,1995,213450
apartamento,1998,672899
armazéns gerais e depósitos,1998,6889
"asilo, orfanato, creche, seminário ou convento",1998,435
"cinema, teatro, casa de diversão, clube ou congênere",1998,527
clube esportivo,1998,538
cortiço (habitação coletiva subnormal),1998,1992
escola,1998,5708
escritório ou consultório,1998,51197
"estacionamento e garagem, não em condomínio",1998,1474
"estação radioemissora, de televisão ou empresa jornalística",1998,66
"garagem em edifício de escritórios, consultórios ou misto",1998,18394
garagem em edifício de uso exclusivamente residencial,1998,104511
"garagem, em prédio de garagens",1998,8248
"hospital, ambulatório, casa de saúde e assemelhados",1998,1233
"hotel, pensão ou hospedaria",1998,1474
indústria,1998,14623
loja,1998,39438
loja e residência (predominância comercial),1998,50834
loja em edifício em condomínio,1998,18953
oficina,1998,10555
