TIPO DE USO DO IMOVEL,ANO DO EXERCICIO,quantidade
Garagem (unidade autônoma) em edifício em condomínio de uso exclusivamente residencial,2019,194301
"Hospital, ambulatório, casa de saúde e assemelhados",2019,1290
"Hotel, pensão ou hospedaria",2019,3663
Indústria,2019,13325
Loja,2019,54087
Loja e residência (predominância comercial),2019,45305
Loja em edifício em condomínio (unidade autônoma),2019,23374
Oficina,2019,10004
"Outras edificações de uso coletivo, com utilização múltipla",2019,2930
"Outras edificações de uso comercial, com utilização múltipla",2019,20977
"Outras edificações de uso de serviço, com utilização múltipla",2019,4981
"Outras edificações de uso especial, com utilização múltipla",2019,1266
Posto de serviço,2019,2307
"Prédio de apartamento, não em condomínio, de uso exclusivamente residencial",2019,1912
"Prédio de apartamento, não em condomínio, de uso misto (apartamentos e escritórios e/ou consultórios), com ou sem loja (predominância residencial)",2019,2710
"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",2019,25045
"Prédio de escritório, não em condomínio, de uso misto (apartamentos e escritórios e/ou consultórios) com ou sem loja (predominância comercial)",2019,277
Residência,2019,1076877
"Residência coletiva, exclusive cortiço (mais de uma residência no lote)",2019,203914
Residência e outro uso (predominância residencial),2019,85173
Templo,2019,5776
Terreno,2019,109828
apartamento,1997,647220
armazéns gerais e depósitos,1997,6784
"asilo, orfanato, creche, seminário ou convento",1997,431
"cinema, teatro, casa de diversão, clube ou congênere",1997,530
clube esportivo,1997,549
cortiço (habitação coletiva subnormal),1997,2086
escola,1997,5452
escritório ou consultório,1997,48419
"estacionamento e garagem, não em condomínio",1997,1366
"estação radioemissora, de televisão ou empresa jornalística",1997,55
"garagem em edifício de escritórios, consultórios ou misto",1997,17810
garagem em edifício de uso exclusivamente residencial,1997,97613
"garagem, em prédio de garagens",1997,8050
"hospital, ambulatório, casa de saúde e assemelhados",1997,1224
"hotel, pensão ou hospedaria",1997,1464
indústria,1997,14883
loja,1997,38579
loja e residência (predominância comercial),1997,51151
loja em edifício em condomínio,1997,18630
oficina,1997,10525
"outras edificações do tipo (uso coletivo), com utilização múltipla",1997,1781
"outras edificações do tipo (uso comércio), com utilização múltipla",1997,13670
"outras edificações do tipo (uso especial), com utilização múltipla",1997,1038
"outras edificações do tipo (uso serviço), com utilização múltipla",1997,3730
posto de serviço (combustíveis),1997,1998
"prédio com uso exclusivamente residencial, não em condomínio",1997,1348
"prédio com uso misto, predominância de uso não residencial, não em condomínio",1997,57
"prédio com uso misto, predominância de uso residencial, não em condomínio",1997,3870
"prédio de escritório ou consultório, com ou sem lojas, não em condomínio",1997,20000
residência,1997,939398
"residência coletiva (mais de uma residência no lote), exclusive cortiço",1997,176699
residência e outro uso (predominância residencial),1997,66210
residência vertical - Padrão C,1997,1
templo,1997,4110
terreno,1997,157814
Apartamento em condomínio,2016,1233593
Armazéns gerais e depósitos,2016,8453
"Asilo, orfanato, creche, seminário ou convento",2016,676
"Cinema, teatro, casa de diversão, clube ou congênere",2016,572
Clube esportivo,2016,553
Cortiço,2016,1804
Escola,2016,6639
Escritório/consultório em condomínio (unidade autônoma),2016,121151
"Estação radioemissora, de televisão ou empresa jornalística",2016,449
Flat de uso comercial (semelhante a hotel),2016,23641
Flat residencial em condomínio,2016,4681
Garagem (exclusive em prédio em condomínio),2016,2729
Garagem (unidade autônoma) de prédio de garagens,2016,9307
"Garagem (unidade autônoma) em edifício em condomínio de escritórios, consultórios ou misto",2016,33443
Garagem (unidade autônoma) em edifício em condomínio de uso exclusivamente residencial,2016,189231
"Hospital, ambulatório, casa de saúde e assemelhados",2016,1293
"Hotel, pensão ou hospedaria",2016,1758
Indústria,2016,13442
Loja,2016,54022
Loja e residência (predominância comercial),2016,45916
Loja em edifício em condomínio (unidade autônoma),2016,22986
Oficina,2016,10142
"Outras edificações de uso coletivo, com utilização múltipla",2016,2900
"Outras edificações de uso comercial, com utilização múltipla",2016,20586
"Outras edificações de uso de serviço, com utilização múltipla",2016,5001
"Outras edificações de uso especial, com utilização múltipla",2016,1251
Posto de serviço,2016,2307
"Prédio de apartamento, não em condomínio, de uso exclusivamente residencial",2016,2120
"Prédio de apartamento, não em condomínio, de uso misto (apartamentos e escritórios e/ou consultórios), com ou sem loja (predominância residencial)",2016,2715
"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",2016,25274
"Prédio de escritório, não em condomínio, de uso misto (apartamentos e escritórios e/ou consultórios) com ou sem loja (predominância comercial)",2016,257
Residência,2016,1061696
"Residência coletiva, exclusive cortiço (mais de uma residência no lote)",2016,203777
Residência e outro uso (predominância residencial),2016,85006
Templo,2016,5725
Terreno,2016,111512
apartamento,2002,773307
armazéns gerais e depósitos,2002,7944
"asilo, orfanato, creche, seminário ou convento",2002,552
"cinema, teatro, casa de diversão, clube ou congênere",2002,562
clube esportivo,2002,562
cortiço (habitação coletiva subnormal),2002,1779
escola,2002,6978
escritório ou consultório,2002,72139
"estacionamento e garagem, não em condomínio",2002,2607
"estação radioemissora, de televisão ou empresa jornalística",2002,128
"garagem em edifício de escritórios, consultórios ou misto",2002,21572
garagem em edifício de uso exclusivamente residencial,2002,126508
"garagem, em prédio de garagens",2002,8542
"hospital, ambulatório, casa de saúde e assemelhados",2002,1345
"hotel, pensão ou hospedaria",2002,2078
indústria,2002,14678
loja,2002,44243
loja e residência (predominância comercial),2002,49958
loja em edifício em condomínio,2002,20489
oficina,2002,11235
"outras edificações do tipo (uso coletivo), com utilização múltipla",2002,2569
"outras edificações do tipo (uso comércio), com utilização múltipla",2002,17277
"outras edificações do tipo (uso especial), com utilização múltipla",2002,1165
"outras edificações do tipo (uso serviço), com utilização múltipla",2002,5004
posto de serviço (combustíveis),2002,2195
"prédio com uso exclusivamente residencial, não em condomínio",2002,1381
"prédio com uso misto, predominância de uso não residencial, não em condomínio",2002,214
"prédio com uso misto, predominância de uso residencial, não em condomínio",2002,3047
"prédio de escritório ou consultório, com ou sem lojas, não em condomínio",2002,25948
residência,2002,939206
"residência coletiva (mais de uma residência no lote), exclusive cortiço",2002,199661
residência e outro uso (predominância residencial),2002,84318
templo,2002,4906
terreno,2002,130308
apartamento,1999,690197
armazéns gerais e depósitos,1999,7258
"asilo, orfanato, creche, seminário ou convento",1999,451
"cinema, teatro, casa de diversão, clube ou congênere",1999,540
clube esportivo,1999,549
cortiço (habitação coletiva subnormal),1999,1860
escola,1999,6212
escritório ou consultório,1999,54158
"estacionamento e garagem, não em condomínio",1999,1817
"estação radioemissora, de televisão ou empresa jornalística",1999,69
"garagem em edifício de escritórios, consultórios ou misto",1999,18870
garagem em edifício de uso exclusivamente residencial,1999,109735
"garagem, em prédio de garagens",1999,8104
"hospital, ambulatório, casa de saúde e assemelhados",1999,1267
"hotel, pensão ou hospedaria",1999,1622
indústria,1999,14762
loja,1999,41603
loja e residência (predominância comercial),1999,50617
loja em edifício em condomínio,1999,19209
oficina,1999,10880
"outras edificações do tipo (uso coletivo), com utilização múltipla",1999,2022
"outras edificações do tipo (uso comércio), com utilização múltipla",1999,14979
"outras edificações do tipo (uso especial), com utilização múltipla",1999,1073
"outras edificações do tipo (uso serviço), com utilização múltipla",1999,4249
posto de serviço (combustíveis),1999,2017
"prédio com uso exclusivamente residencial, não em condomínio",1999,1269
"prédio com uso misto, predominância de uso não residencial, não em condomínio",1999,171
"prédio com uso misto, predominância de uso residencial, não em condomínio",1999,3093
"prédio de escritório ou consultório, com ou sem lojas, não em condomínio",1999,23023
residência,1999,930703
"residência coletiva (mais de uma residência no lote), exclusive cortiço",1999,187285
residência e outro uso (predominância residencial),1999,74697
templo,1999,4467
terreno,1999,149612
Apartamento em condomínio,2020,1363685
Armazéns gerais e depósitos,2020,8612
"Asilo, orfanato, creche, seminário ou convento",2020,927
"Cinema, teatro, casa de diversão, clube ou congênere",2020,569
Clube esportivo,2020,563
Cortiço,2020,1768
Escola,2020,6941
Escritório/consultório em condomínio (unidade autônoma),2020,138156
"Estação radioemissora, de televisão ou empresa jornalística",2020,496
Flat de uso comercial (semelhante a hotel),2020,24239
Flat residencial em condomínio,2020,4976
Garagem (exclusive em prédio em condomínio),2020,2714
Garagem (unidade autônoma) de prédio de garagens,2020,9571
"Garagem (unidade autônoma) em edifício em condomínio de escritórios, consultórios ou misto",2020,38221
Garagem (unidade autônoma) em edifício em condomínio de uso exclusivamente residencial,2020,196802
"Hospital, ambulatório, casa de saúde e assemelhados",2020,1291
"Hotel, pensão ou hospedaria",2020,3939
Indústria,2020,13334
Loja,2020,54407
Loja e residência (predominância comercial),2020,45021
Loja em edifício em condomínio (unidade autônoma),2020,23589
Oficina,2020,9983
"Outras edificações de uso coletivo, com utilização múltipla",2020,2935
"Outras edificações de uso comercial, com utilização múltipla",2020,21168
"Outras edificações de uso de serviço, com utilização múltipla",2020,4959
"Outras edificações de uso especial, com utilização múltipla",2020,1267
Posto de serviço,2020,2294
"Prédio de apartamento, não em condomínio, de uso exclusivamente residencial",2020,2037
"Prédio de apartamento, não em condomínio, de uso misto (apartamentos e escritórios e/ou consultórios), com ou sem loja (predominância residencial)",2020,2704
"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",2020,24979
"Prédio de escritório, não em condomínio, de uso misto (apartamentos e escritórios e/ou consultórios) com ou sem loja (predominância comercial)",2020,291
Residência,2020,1081450
"Residência coletiva, exclusive cortiço (mais de uma residência no lote)",2020,203816
Residência e outro uso (predominância residencial),2020,85255
Templo,2020,5800
Terreno,2020,109885
apartamento,2008,917682
armazéns gerais e depósitos,2008,8193
"asilo, orfanato, creche, seminário ou convento",2008,615
"cinema, teatro, casa de diversão, clube ou congênere",2008,568
clube esportivo,2008,535
cortiço (habitação coletiva subnormal),2008,1717
escola,2008,6590
escritório ou consultório,2008,86855
"estacionamento e garagem, não em condomínio",2008,2879
"estação radioemissora, de televisão ou empresa jornalística",2008,255
"flat, não residencial",2008,20825
"flat, residencial",2008,4165
"garagem em edifício de escritórios, consultórios ou misto",2008,27388
garagem em edifício de uso exclusivamente residencial,2008,151598
"garagem, em prédio de garagens",2008,9753
"hospital, ambulatório, casa de saúde e assemelhados",2008,1323
"hotel, pensão ou hospedaria",2008,1491
indústria,2008,13886
loja,2008,52009
loja e residência (predominância comercial),2008,48689
loja em edifício em condomínio,2008,20491
oficina,2008,10588
"outras edificações do tipo (uso coletivo), com utilização múltipla",2008,2713
"outras edificações do tipo (uso comércio), com utilização múltipla",2008,18250
"outras edificações do tipo (uso especial), com utilização múltipla",2008,1214
"outras edificações do tipo (uso serviço), com utilização múltipla",2008,5061
posto de serviço (combustíveis),2008,2213
"prédio com uso exclusivamente residencial, não em condomínio",2008,1434
"prédio com uso misto, predominância de uso não residencial, não em condomínio",2008,235
"prédio com uso misto, predominância de uso residencial, não em condomínio",2008,2881
"prédio de escritório ou consultório, com ou sem lojas, não em condomínio",2008,25042
residência,2008,979938
"residência coletiva (mais de uma residência no lote), exclusive cortiço",2008,201259
residência e outro uso (predominância residencial),2008,84420
templo,2008,5162
terreno,2008,120836
apartamento,2003,801861
armazéns gerais e depósitos,2003,8084
"asilo, orfanato, creche, seminário ou convento",2003,560
"cinema, teatro, casa de diversão, clube ou congênere",2003,560
clube esportivo,2003,563
cortiço (habitação coletiva subnormal),2003,1764
escola,2003,6883
escritório ou consultório,2003,77579
"estacionamento e garagem, não em condomínio",2003,2831
"estação radioemissora, de televisão ou empresa jornalística",2003,138
"garagem em edifício de escritórios, consultórios ou misto",2003,21652
garagem em edifício de uso exclusivamente residencial,2003,133248
"garagem, em prédio de garagens",2003,9198
"hospital, ambulatório, casa de saúde e assemelhados",2003,1330
"hotel, pensão ou hospedaria",2003,1998
indústria,2003,14449
loja,2003,44184
loja e residência (predominância comercial),2003,48933
loja em edifício em condomínio,2003,20755
oficina,2003,11153
"outras edificações do tipo (uso coletivo), com utilização múltipla",2003,2594
"outras edificações do tipo (uso comércio), com utilização múltipla",2003,17465
"outras edificações do tipo (uso especial), com utilização múltipla",2003,1193
"outras edificações do tipo (uso serviço), com utilização múltipla",2003,5071
posto de serviço (combustíveis),2003,2220
"prédio com uso exclusivamente residencial, não em condomínio",2003,1302
"prédio com uso misto, predominância de uso não residencial, não em condomínio",2003,211
"prédio com uso misto, predominância de uso residencial, não em condomínio",2003,3027
"prédio de escritório ou consultório, com ou sem lojas, não em condomínio",2003,25750
residência,2003,947221
"residência coletiva (mais de uma residência no lote), exclusive cortiço",2003,200270
residência e outro uso (predominância residencial),2003,84844
templo,2003,4945
terreno,2003,127672
apartamento,2012,1027856
armazéns gerais e depósitos,2012,8053
"asilo, orfanato, creche, seminário ou convento",2012,640
"cinema, teatro, casa de diversão, clube ou congênere",2012,539
clube esportivo,2012,546
cortiço (habitação coletiva subnormal),2012,1560
escola,2012,6475
escritório ou consultório,2012,94529
"estacionamento e garagem, não em condomínio",2012,2759
"estação radioemissora, de televisão ou empresa jornalística",2012,364
"flat, não residencial",2012,23381
"flat, residencial",2012,4416
"garagem em edifício de escritórios, consultórios ou misto",2012,28183
garagem em edifício de uso exclusivamente residencial,2012,165018
"garagem, em prédio de garagens",2012,9743
"hospital, ambulatório, casa de saúde e assemelhados",2012,1298
"hotel, pensão ou hospedaria",2012,1737
indústria,2012,13171
loja,2012,51856
loja e residência (predominância comercial),2012,45483
loja em edifício em condomínio,2012,21509
oficina,2012,9959
"outras edificações do tipo (uso coletivo), com utilização múltipla",2012,3206
"outras edificações do tipo (uso comércio), com utilização múltipla",2012,19373
"outras edificações do tipo (uso especial), com utilização múltipla",2012,1220
"outras edificações do tipo (uso serviço), com utilização múltipla",2012,4998
posto de serviço (combustíveis),2012,2218
"prédio com uso exclusivamente residencial, não em condomínio",2012,1993
"prédio com uso misto, predominância de uso não residencial, não em condomínio",2012,236
"prédio com uso misto, predominância de uso residencial, não em condomínio",2012,2775
"prédio de escritório ou consultório, com ou sem lojas, não em condomínio",2012,25170
residência,2012,997844
"residência coletiva (mais de uma residência no lote), exclusive cortiço",2012,194601
residência e outro uso (predominância residencial),2012,81065
templo,2012,5340
terreno,2012,109259
