,agregacao,area_construida,area_terreno,area_ocupada,maximo_de_pavimentos,media_testada,CA,TO,exercicio
3,Arco Pinheiros,3674359.0,7674358.3827,2422199.2608999996,26.0,13.451666666666668,0.4787838691874178,0.3156223804142724,2007
4,Arco Tamanduatei,11520261.0,12266659.072000006,6379592.759900002,28.0,8.600000000000001,0.939152293414289,0.5200758187257459,2007
5,Arco Tiete,32515496.0,37372651.436499976,15832508.508499997,31.0,9.75,0.8700344971575595,0.4236388883299082,2007
6,Avenida Cupece,2238621.0,2351563.6573000005,1048128.7278000001,27.0,10.24,0.9519712524262779,0.4457156516032537,2007
7,Centro,12862768.0,3507161.3294000025,2552507.3376999977,46.0,12.565,3.667572373182084,0.7277986662041221,2007
8,Faria Lima-Agua Espraiada-Chucri Zaidan,17864876.0,13583734.268299988,5618523.974400002,42.0,10.0,1.315166775729028,0.4136214580928462,2007
9,Fernao Dias,781807.0,1953032.8904,607563.932,5.0,10.875,0.40030406238569716,0.31108740410181474,2007
10,Fora de Setor,308091815.0,446423146.18640006,149097754.62729988,47.0,10.0,0.6901340524833786,0.3339830291080952,2007
11,Noroeste,3404480.0,8820833.2447,2325351.1349,21.0,10.811315789473685,0.3859590024610864,0.2636203485988342,2007
0,Arco Jacu-Pessego,2376742.0,9072963.0313,1664280.4150999996,14.0,10.0,0.26195874399583585,0.18343295452197347,1998
1,Arco Jurubatuba,6752485.0,14010857.551199991,4266806.110800001,22.0,10.725,0.4819465885884814,0.30453568564292205,1998
2,Arco Leste,16743984.0,28654796.231700003,11309973.889999993,44.0,10.0,0.5843344292037435,0.3946974111610706,1998
3,Arco Pinheiros,3805293.0,12349601.406900002,2397034.7533,26.0,12.5,0.3081308355323838,0.19409814732649772,1998
4,Arco Tamanduatei,9902254.0,11697810.8076,5895589.624399997,26.0,8.6125,0.8465048856463435,0.5039908510547688,1998
5,Arco Tiete,28988562.0,37056649.13929998,15204547.234000003,31.0,10.0,0.7822769374270414,0.41030550757151446,1998
6,Avenida Cupece,1839940.0,2365102.2197000002,932821.3923000001,27.0,10.891666666666666,0.7779536904047157,0.3944106028610988,1998
7,Centro,12713042.0,3498126.422400001,2548518.8447999978,46.0,12.80153543307086,3.63424315330428,0.7285382336329358,1998
8,Faria Lima-Agua Espraiada-Chucri Zaidan,13315596.0,13725376.414199987,5157560.776199999,34.0,10.0,0.9701443223243016,0.3757682573181814,1998
9,Fernao Dias,750586.0,1974317.8904,589095.932,6.0,10.8,0.3801748460314717,0.29837947316612135,1998
10,Fora de Setor,256160090.0,440131598.7658001,134398326.0389999,90.0,10.0,0.5820079510726204,0.3053594116302361,1998
11,Noroeste,2777501.0,8445894.638799999,2034273.3739999998,21.0,11.154166666666665,0.3288581161361291,0.24085943064629936,1998
0,Arco Jacu-Pessego,4918161.0,12397753.437599998,3014222.8675,20.0,10.0,0.39669775857004586,0.2431265376159557,2018
1,Arco Jurubatuba,11699327.0,15131195.452599995,5114414.596100001,33.0,10.432857142857143,0.7731925105752105,0.3380046614374537,2018
2,Arco Leste,24146497.0,30729488.849099975,13490695.350499995,44.0,9.938125,0.785776070619776,0.4390146356402905,2018
3,Arco Pinheiros,6181235.0,11894305.348000001,2863843.8519,30.0,15.555,0.5196802015041054,0.24077436791056894,2018
